#70cm	(0)
#	Strom	Spannung Leistung	
5	27.8	0.15	4.2812
10	27.9	0.30	8.2305
15	27.7	0.44	12.1049
20	27.8	0.58	16.1796
25	27.7	0.72	19.8609
30	27.4	0.86	23.4544
35	27.4	0.99	27.0986
40	27.3	1.11	30.3030
45	27.0	1.24	33.4800
50	26.7	1.49	39.7830
55	26.3	1.60	42.0800
60	25.5	1.68	42.8400
65	24.8	1.74	43.1520
70	23.9	1.79	42.7810
75	22.9	1.82	41.6780
80	22.0	1.85	40.7000
85	21.0	1.87	39.2700
90	20.1	1.88	37.7880
95	19.2	1.90	36.4800
100	18.5	1.91	35.3350
			

#(1)
60	28.6	1.79	51.194
61	28.1	1.8	50.58
62	27.8	1.81	50.318
63	27.3	1.81	49.413
64	27.1	1.82	49.322
65	26.9	1.83	49.227
66	26.3	1.83	48.129
67	26.6	1.84	48.944
68	26.4	1.85	48.84
69	26.8	1.85	49.58
70	25.8	1.85	47.73
			

#60 cm (2)			
5	48.7	0.30	14.6100
10	48.5	0.53	25.7050
15	48.7	0.77	37.4990
20	48.7	1.03	50.1610
25	48.5	1.25	60.6250
30	48.2	1.49	71.8180
35	46.3	1.66	76.8580
40	43.2	1.76	76.0320
45	39.8	1.83	72.8340
50	36.8	1.87	68.8160
55	33.9	1.89	64.0710
60	31.4	1.91	59.9740
65	29.2	1.93	56.3560
70	27.4	1.94	53.1560
75	25.7	1.95	50.1150
80	24.2	1.96	47.4320
85	22.9	1.97	45.1130
90	21.7	1.97	42.7490
95	20.6	1.98	40.7880
100	19.7	1.98	39.0060
150	13.4	2.02	27.0680
200	10.1	2.03	20.5030
250	8.1	2.03	16.4633
300	6.7	2.03	13.6010
			
			
#(3)
40	42.6	1.75	74.55
41	42.1	1.77	74.517
42	42.8	1.78	76.184
43	41	1.79	73.39
44	40.2	1.8	72.36
45	39.6	1.81	71.676
46	38.8	1.82	70.616
47	38.3	1.83	70.089
48	37.7	1.84	69.368
49	36.9	1.85	68.265
50	36.5	1.85	67.525
			
			
#50 cm (4)			
5	68.8	0.38	26.1440
10	68.6	0.73	50.0780
15	68.2	1.00	68.2000
20	66.8	1.38	92.1840
25	63.3	1.63	103.1790
30	57.2	1.76	100.6720
35	51.3	1.83	93.8790
40	46.2	1.87	86.3940
45	41.6	1.90	79.0400
50	37.8	1.92	72.5760
55	34.7	1.93	66.9710
60	32.1	1.95	62.5950
65	29.8	1.96	58.4080
70	27.9	1.97	54.9630
75	26.2	1.98	51.8760
80	24.5	1.98	48.5100
85	23.2	1.99	46.1680
90	22.0	1.99	43.7800
95	20.8	1.99	41.3920
100	19.9	1.99	39.6010
150	13.4	2.02	27.0680
200	10.1	2.03	20.5030
#250	0	0	0		
300	6.8	2.05	13.9400
			

#(5)
30	57.2	1.76	100.672
31	56.2	1.78	100.036
32	54.9	1.79	98.271
33	53.5	1.8	96.3
34	52.3	1.81	94.663
35	51.1	1.82	93.002
36	50.1	1.83	91.683
37	48.9	1.84	89.976
38	47.9	1.85	88.615
39	47	1.86	87.42
40	46	1.87	86.02
			
			
#40 cm (6)			
5	78.3	0.46	36.0180
10	78.5	0.84	65.9400
15	78.9	1.23	97.0470
20	77.9	1.61	125.4190
25	71.4	1.83	130.6620
30	61.8	1.90	117.4200
35	53.9	1.92	103.4880
40	47.9	1.95	93.4050
45	42.9	1.96	84.0840
50	39.1	1.98	77.4180
55	35.7	1.99	71.0430
60	32.9	2.00	65.8000
65	30.5	2.01	61.3050
70	28.5	2.01	57.2850
75	26.7	2.02	53.9340
80	25.1	2.02	50.7020
85	23.6	2.03	47.9080
90	22.4	2.03	45.4720
95	21.2	2.03	43.0360
100	20.2	2.03	41.0060
150	13.6	2.05	27.8800
200	10.3	2.06	21.2180
250	8.2	2.07	16.9740
300	8.9	2.07	18.4230
			

#(7)
20	78.2	1.62	126.684
21	77.1	1.68	129.528
22	75.9	1.73	131.307
23	74.1	1.77	131.157
24	72.5	1.79	129.775
25	70.4	1.81	127.424
26	68.4	1.83	125.172
27	66.5	1.85	123.025
28	64.8	1.86	120.528
29	63	1.87	117.81
30	61.3	1.88	115.244


#(8) Abstand Leerstrom Leerspannung Leistung Lichtintensität
70	29.7	2.1	111.37	9	
60	50.7	2.08	148.44	12
50	67.8	2.12	197.92	16
40	73.9	2.15	259.77	21
